,business_code,cust_number,clear_date,posting_date,document_create_date,document_create_date.1,due_date,currency,amount,baseline_create_date,cust_payment_terms
20508,U001,200769623,2019-12-09,2019-11-27,2019-11-26,2019-11-27,2019-12-12,USD,440.79,2019-11-27,NAH4
20509,U001,200782772,2020-01-28,2020-01-13,2020-01-14,2020-01-13,2020-01-28,USD,74923.36,2020-01-13,NAA8
20510,U001,200769623,2019-11-20,2019-11-10,2019-11-09,2019-11-10,2019-11-25,USD,23073.23,2019-11-10,NAH4
20511,U001,200799342,2019-09-11,2019-08-27,2019-08-27,2019-08-27,2019-09-11,USD,144321.1,2019-08-27,NAA8
20512,CA02,100035505,2019-10-09,2019-09-23,2019-09-23,2019-09-23,2019-10-06,CAD,6169.68,2019-09-26,CA10
20513,U001,200803720,2019-06-17,2019-06-11,2019-06-11,2019-06-11,2019-06-24,USD,4072.02,2019-06-01,NAM4
20515,U001,200728270,2019-10-22,2019-10-03,2019-10-03,2019-10-03,2019-10-18,USD,59755.11,2019-10-03,NAA8
20516,U001,100030964,2019-11-19,2019-10-31,2019-10-26,2019-10-31,2019-11-15,USD,20567.55,2019-10-31,NAA8
20517,U001,200741174,2019-10-11,2019-09-25,2019-09-26,2019-09-25,2019-10-10,USD,1212.33,2019-09-25,NAA8
20518,CA02,140104440,2019-04-17,2019-03-28,2019-03-28,2019-03-28,2019-04-08,CAD,98914.87,2019-03-29,CA10
20519,U001,CCU013,2019-03-01,2019-01-18,2019-01-16,2019-01-18,2019-01-18,USD,11646.7,2019-01-18,NAX2
20520,U001,200592182,2019-01-10,2019-01-09,2019-01-09,2019-01-09,2019-01-11,USD,25034.43,2019-01-01,NAM2
20521,U001,200337148,2019-12-31,2019-12-18,2019-12-16,2019-12-18,2020-01-02,USD,24886.01,2019-12-18,NAA8
20523,U001,200786288,2020-03-06,2020-02-23,2020-02-21,2020-02-23,2020-03-09,USD,15116.68,2020-02-23,NAC6
20524,U001,200756072,2019-10-11,2019-09-27,2019-09-26,2019-09-27,2019-10-12,USD,13811.84,2019-09-27,NAA8
20525,U001,200803720,2019-09-03,2019-08-23,2019-08-23,2019-08-23,2019-09-08,USD,2207.76,2019-08-16,NAM4
20527,U001,200230690,2020-02-24,2020-02-18,2020-02-18,2020-02-18,2020-02-26,USD,1368.16,2020-02-16,NAM2
20528,U001,200702946,2019-05-13,2019-05-02,2019-05-01,2019-05-02,2019-05-17,USD,48576.2,2019-05-02,NAA8
20529,U001,200769623,2019-01-22,2019-01-05,2019-01-04,2019-01-05,2019-01-20,USD,5965.9,2019-01-05,NAH4
20533,U001,200769623,2019-02-26,2019-02-15,2019-02-14,2019-02-15,2019-03-02,USD,49458.75,2019-02-15,NAH4
20534,U001,200803720,2019-04-26,2019-04-26,2019-04-26,2019-04-26,2019-04-23,USD,3862.96,2019-04-16,NAM1
20536,U001,200726979,2019-12-19,2019-12-04,2019-12-03,2019-12-04,2019-12-19,USD,158.91,2019-12-04,NAA8
20537,U001,200780383,2019-08-01,2019-07-17,2019-07-16,2019-07-17,2019-08-01,USD,7376.89,2019-07-17,NAA8
20538,U001,200705742,2019-11-22,2019-11-07,2019-11-07,2019-11-07,2019-11-22,USD,1733.55,2019-11-07,NAA8
20539,U001,200762301,2019-10-16,2019-10-01,2019-09-30,2019-10-01,2019-10-16,USD,5961.52,2019-10-01,NAC6
20540,U001,200230690,2019-03-11,2019-03-06,2019-03-06,2019-03-06,2019-03-08,USD,884.78,2019-03-01,NAM1
20543,U001,200769623,2019-10-23,2019-10-06,2019-10-06,2019-10-06,2019-10-21,USD,936.91,2019-10-06,NAH4
20544,CA02,140104336,2019-12-09,2019-11-23,2019-11-23,2019-11-23,2019-12-05,CAD,65239.57,2019-11-25,CA10
20545,U001,200792200,2020-02-14,2020-01-30,2020-01-28,2020-01-30,2020-02-14,USD,9479.86,2020-01-30,NAA8
20547,U001,200725421,2019-11-25,2019-11-15,2019-11-15,2019-11-15,2019-11-30,USD,50363.08,2019-11-15,NAA8
20548,U001,200772595,2019-07-02,2019-06-17,2019-06-15,2019-06-17,2019-07-02,USD,130978.98,2019-06-17,NAA8
20550,U001,200769623,2019-03-19,2019-03-07,2019-03-07,2019-03-07,2019-03-22,USD,3050.34,2019-03-07,NAH4
20551,U001,200437182,2019-07-18,2019-07-03,2019-07-03,2019-07-03,2019-07-18,USD,49125.75,2019-07-03,NAA8
20552,U001,200769623,2020-02-18,2020-02-08,2020-02-08,2020-02-08,2020-02-23,USD,10613.55,2020-02-08,NAH4
20554,CA02,140104249,2019-04-15,2019-03-26,2019-03-26,2019-03-26,2019-04-13,CAD,101800.12,2019-04-03,CA10
20555,U001,200769623,2019-08-02,2019-07-22,2019-07-22,2019-07-22,2019-08-06,USD,5600.41,2019-07-22,NAH4
20556,U001,200707822,2019-11-18,2019-10-09,2019-10-09,2019-10-09,2019-11-18,USD,4805.61,2019-10-09,NAWU
20557,U001,100032278,2019-08-09,2019-08-06,2019-08-06,2019-08-06,2019-08-06,USD,4286.88,2019-08-06,NAB1
20558,U001,CCU002,2019-08-30,2019-08-01,2019-07-30,2019-08-01,2019-09-05,USD,64960.11,2019-08-01,NAG2
20559,U001,200776463,2019-04-15,2019-02-07,2019-02-07,2019-02-07,2019-04-13,USD,972.76,2019-02-07,NAGD
20561,U001,200772670,2019-12-09,2019-10-04,2019-10-04,2019-10-04,2019-12-08,USD,19605.74,2019-10-04,NAGD
20562,U001,200707822,2019-04-16,2019-04-01,2019-04-01,2019-04-01,2019-04-16,USD,19509.34,2019-04-01,NAA8
20563,U001,200747369,2019-04-29,2019-04-14,2019-04-14,2019-04-14,2019-06-18,USD,17735.32,2019-04-14,NAGD
20564,U001,200769623,2019-11-19,2019-11-08,2019-11-08,2019-11-08,2019-11-23,USD,12006.38,2019-11-08,NAH4
20565,U001,200769623,2019-07-31,2019-07-21,2019-07-20,2019-07-21,2019-08-05,USD,17589.16,2019-07-21,NAH4
20566,U001,200782669,2019-09-03,2019-08-15,2019-08-15,2019-08-15,2019-08-30,USD,21711.73,2019-08-15,NAA8
20567,U001,200793568,2020-03-05,2020-02-19,2020-02-14,2020-02-19,2020-03-05,USD,2021.76,2020-02-19,NAA8
20568,U001,200778870,2019-04-12,2019-03-18,2019-03-17,2019-03-18,2019-04-02,USD,8515.48,2019-03-18,NAA8
20569,U001,200353024,2019-10-16,2019-10-03,2019-10-03,2019-10-03,2019-10-24,USD,81.6,2019-10-01,NAM4
20570,U001,200739006,2019-11-07,2019-10-24,2019-10-23,2019-10-24,2019-11-08,USD,60156.62,2019-10-24,NAA8
20571,U001,200974851,2019-11-06,2019-10-17,2019-10-17,2019-10-17,2019-11-06,USD,962.25,2019-10-17,NAD1
20572,U001,200726979,2019-10-16,2019-10-01,2019-09-30,2019-10-01,2019-10-16,USD,45829.69,2019-10-01,NAA8
20574,U001,200769623,2019-06-24,2019-06-11,2019-06-10,2019-06-11,2019-06-26,USD,17836.22,2019-06-11,NAH4
20576,U001,140142846,2019-11-20,2019-09-17,2019-09-12,2019-09-17,2019-11-16,USD,3182.15,2019-09-17,NACB
20577,U001,200779051,2019-07-08,2019-06-28,2019-06-27,2019-06-28,2019-07-13,USD,23049.6,2019-06-28,NAA8
20578,U001,200731119,2019-11-13,2019-09-25,2019-09-25,2019-09-25,2019-11-24,USD,7064.72,2019-09-25,NAVQ
20579,CA02,140104440,2019-11-21,2019-11-05,2019-11-05,2019-11-05,2019-11-17,CAD,75960.57,2019-11-07,CA10
20580,U001,200712102,2020-05-01,2020-02-13,2020-02-12,2020-02-13,2020-04-13,USD,34596.06,2020-02-13,NAVQ
20581,U001,100031704,2019-11-01,2019-10-17,2019-10-15,2019-10-17,2019-11-01,USD,68502.62,2019-10-17,NAA8
20583,U001,200742791,2020-02-27,2020-02-13,2020-02-12,2020-02-13,2020-04-18,USD,44.14,2020-02-13,NAGD
20584,U001,200769623,2020-02-20,2020-02-04,2020-02-03,2020-02-04,2020-02-19,USD,4089.54,2020-02-04,NAH4
20585,CA02,140104340,2019-10-24,2019-10-09,2019-10-09,2019-10-09,2019-10-19,CAD,9408.35,2019-10-09,CA10
20586,U001,200772595,2019-02-27,2019-02-12,2019-02-12,2019-02-12,2019-02-27,USD,42051.21,2019-02-12,NAA8
20587,U001,CCU013,2019-03-29,2019-02-26,2019-02-22,2019-02-26,2019-02-26,USD,7096.46,2019-02-26,NAX2
20588,U001,200769623,2019-10-29,2019-10-18,2019-10-17,2019-10-18,2019-11-02,USD,1897.5,2019-10-18,NAH4
20589,U001,200762301,2020-01-21,2020-01-03,2020-01-02,2020-01-03,2020-01-18,USD,15968.74,2020-01-03,NAC6
20590,U001,200920735,2019-11-25,2019-11-08,2019-11-07,2019-11-08,2019-11-23,USD,34398.61,2019-11-08,NAA8
20592,U001,200794332,2019-11-26,2019-11-12,2019-11-08,2019-11-12,2019-11-27,USD,14000.91,2019-11-12,NAAX
20593,U001,200769623,2019-05-07,2019-04-26,2019-04-25,2019-04-26,2019-05-11,USD,63200.83,2019-04-26,NAH4
20594,U001,200769623,2019-09-13,2019-09-03,2019-09-03,2019-09-03,2019-09-18,USD,45305.06,2019-09-03,NAH4
20595,U001,200920735,2019-02-28,2019-02-13,2019-02-12,2019-02-13,2019-02-28,USD,68732.01,2019-02-13,NAA8
20598,U001,200759878,2019-05-23,2019-05-07,2019-05-05,2019-05-07,2019-05-22,USD,49329.46,2019-05-07,NAH4
20599,U001,200820380,2020-04-14,2020-02-09,2020-02-08,2020-02-09,2020-04-14,USD,4154.28,2020-02-09,NAGD
20600,U001,200759878,2019-01-22,2019-01-04,2019-01-03,2019-01-04,2019-01-19,USD,5364.0,2019-01-04,NAH4
20601,U001,100043936,2019-12-19,2019-12-09,2019-12-09,2019-12-09,2019-12-19,USD,16927.82,2019-12-09,NA10
20602,U001,200769623,2019-04-02,2019-03-22,2019-03-21,2019-03-22,2019-04-06,USD,459.85,2019-03-22,NAH4
20604,U001,200792293,2019-05-28,2019-05-06,2019-05-06,2019-05-06,2019-05-21,USD,17122.68,2019-05-06,NAA8
20605,U001,CCU013,2019-06-28,2019-05-13,2019-05-13,2019-05-13,2019-05-13,USD,16288.11,2019-05-13,NAX2
20606,U013,CC6050,2019-04-22,2019-01-24,2019-01-24,2019-01-24,2019-03-10,USD,15810.45,2019-01-24,NAVF
20609,U001,100021540,2020-02-19,2020-02-05,2020-02-05,2020-02-05,2020-02-15,USD,1214.24,2020-02-05,NA10
20611,CA02,140104440,2019-04-05,2019-03-14,2019-03-14,2019-03-14,2019-04-01,CAD,339519.86,2019-03-22,CA10
20613,U001,200721530,2019-03-29,2019-03-19,2019-03-19,2019-03-19,2019-04-03,USD,96763.5,2019-03-19,NAA8
20615,U001,200762301,2019-11-08,2019-10-24,2019-10-25,2019-10-24,2019-11-08,USD,56825.01,2019-10-24,NAC6
20616,CA02,140105686,2020-03-19,2020-02-26,2020-02-26,2020-02-26,2020-03-15,CAD,820.8,2020-03-05,CA10
20617,CA02,140106408,2019-08-23,2019-08-07,2019-08-07,2019-08-07,2019-08-19,CAD,13579.79,2019-08-09,CA10
20620,U001,200769623,2019-04-01,2019-03-20,2019-03-18,2019-03-20,2019-04-04,USD,52397.95,2019-03-20,NAH4
20621,U001,200434439,2019-05-30,2019-05-15,2019-05-15,2019-05-15,2019-05-30,USD,50483.43,2019-05-15,NAA8
20622,U001,200769623,2019-08-20,2019-08-03,2019-08-03,2019-08-03,2019-08-18,USD,52035.2,2019-08-03,NAH4
20623,U001,200762301,2020-02-19,2020-02-03,2020-02-01,2020-02-03,2020-02-18,USD,26234.32,2020-02-03,NAC6
20624,U001,CCU013,2019-08-30,2019-07-03,2019-07-01,2019-07-03,2019-07-03,USD,11418.56,2019-07-03,NAX2
20625,U001,200769623,2019-04-15,2019-04-02,2019-04-02,2019-04-02,2019-04-17,USD,65853.65,2019-04-02,NAH4
20626,U001,200778355,2019-12-30,2019-11-26,2019-11-22,2019-11-26,2019-12-28,USD,5192.64,2019-11-26,NA32
20627,U001,CCU002,2019-06-28,2019-05-16,2019-05-14,2019-05-16,2019-06-20,USD,11804.16,2019-05-16,NAG2
20628,U001,100043936,2019-03-01,2019-02-19,2019-02-19,2019-02-19,2019-03-01,USD,17661.07,2019-02-19,NA10
20629,U001,200772670,2019-08-06,2019-07-23,2019-07-23,2019-07-23,2019-08-07,USD,5905.35,2019-07-23,NAU5
20630,U001,200592182,2019-12-02,2019-11-26,2019-11-26,2019-11-26,2019-12-09,USD,5910.34,2019-11-16,NAM4
20631,U001,200729942,2019-03-13,2019-02-13,2019-02-07,2019-02-13,2019-02-28,USD,8630.83,2019-02-13,NAA8
20632,U001,200752302,2019-04-15,2019-03-29,2019-03-29,2019-03-29,2019-04-13,USD,65802.16,2019-03-29,NAA8
20633,U001,200936373,2019-10-16,2019-10-01,2019-09-30,2019-10-01,2019-10-16,USD,57380.07,2019-10-01,NAA8
20634,U001,200704045,2019-01-28,2019-01-11,2019-01-11,2019-01-11,2019-01-26,USD,13173.98,2019-01-11,NAA8
20635,U001,200780825,2019-03-11,2019-02-21,2019-02-21,2019-02-21,2019-03-08,USD,1227.25,2019-02-21,NAA8
20636,U001,200744019,2019-09-13,2019-08-28,2019-08-28,2019-08-28,2019-09-12,USD,96324.96,2019-08-28,NAA8
20637,U001,200769623,2019-11-26,2019-11-15,2019-11-14,2019-11-15,2019-11-30,USD,11747.23,2019-11-15,NAH4
20638,U001,200780383,2019-11-04,2019-10-17,2019-10-17,2019-10-17,2019-11-01,USD,140321.81,2019-10-17,NAA8
20639,U001,CCCA02,2019-11-01,2019-09-03,2019-09-03,2019-09-03,2019-10-08,USD,15368.27,2019-09-03,NAG2
20640,U001,200707005,2019-08-06,2019-07-22,2019-07-20,2019-07-22,2019-08-06,USD,24019.83,2019-07-22,NAA8
20641,U001,200571849,2019-08-26,2019-08-05,2019-08-05,2019-08-05,2019-08-25,USD,827.5,2019-08-05,NAD1
20642,U001,200759878,2020-02-14,2020-01-30,2020-01-29,2020-01-30,2020-02-14,USD,93975.48,2020-01-30,NAH4
20643,U001,200785971,2019-08-15,2019-07-30,2019-07-29,2019-07-30,2019-08-14,USD,40932.82,2019-07-30,NAA8
20644,CA02,140104229,2019-07-05,2019-06-18,2019-06-18,2019-06-18,2019-06-29,CAD,1230.12,2019-06-19,CA10
20645,U001,200769623,2019-10-03,2019-09-23,2019-09-21,2019-09-23,2019-10-08,USD,15212.42,2019-09-23,NAH4
20648,U001,200726979,2020-02-20,2020-02-04,2020-02-04,2020-02-04,2020-02-19,USD,198.48,2020-02-04,NAA8
20649,U001,200466603,2019-05-16,2019-05-01,2019-05-01,2019-05-01,2019-05-16,USD,79388.14,2019-05-01,NAA8
20650,U001,200833713,2019-10-22,2019-10-02,2019-10-02,2019-10-02,2019-10-17,USD,589.67,2019-10-02,NAA8
20651,U001,200555117,2020-02-24,2020-02-05,2020-02-05,2020-02-05,2020-02-20,USD,85001.84,2020-02-05,NAA8
20652,U001,200704858,2019-12-02,2019-11-13,2019-11-11,2019-11-13,2019-11-28,USD,2709.5,2019-11-13,NAA8
20654,U001,200668077,2019-02-20,2019-02-06,2019-02-04,2019-02-06,2019-02-16,USD,26582.4,2019-02-06,NA10
20655,U001,200014556,2019-11-27,2019-11-12,2019-11-10,2019-11-12,2019-11-27,USD,129914.26,2019-11-12,NAA8
20656,U001,200769623,2019-11-06,2019-10-26,2019-10-25,2019-10-26,2019-11-10,USD,9936.4,2019-10-26,NAH4
20657,U001,200434439,2019-07-10,2019-06-19,2019-06-19,2019-06-19,2019-07-09,USD,87712.44,2019-06-19,NAD1
20658,U001,200769623,2019-10-22,2019-10-12,2019-10-11,2019-10-12,2019-10-27,USD,9410.26,2019-10-12,NAH4
20659,U001,200726979,2019-07-26,2019-07-11,2019-07-09,2019-07-11,2019-07-26,USD,119240.86,2019-07-11,NAA8
20660,U001,200769623,2019-09-20,2019-09-10,2019-09-08,2019-09-10,2019-09-25,USD,47056.08,2019-09-10,NAH4
20661,U001,200418007,2019-09-04,2019-08-20,2019-08-15,2019-08-20,2019-09-04,USD,492.29,2019-08-20,NAA8
20662,U001,200418007,2019-08-22,2019-08-07,2019-08-03,2019-08-07,2019-08-22,USD,4007.8,2019-08-07,NAA8
20663,U001,200726979,2019-09-30,2019-09-14,2019-09-13,2019-09-14,2019-09-29,USD,625.69,2019-09-14,NAA8
20664,U001,200705372,2019-09-03,2019-08-18,2019-08-17,2019-08-18,2019-09-02,USD,94513.73,2019-08-18,NAA8
20665,U001,200769623,2019-07-23,2019-07-12,2019-07-11,2019-07-12,2019-07-27,USD,15673.0,2019-07-12,NAH4
20666,U001,200331749,2019-05-17,2019-05-02,2019-05-01,2019-05-02,2019-05-17,USD,4136.68,2019-05-02,NAA8
20667,U001,200755701,2019-07-12,2019-06-28,2019-06-27,2019-06-28,2019-07-13,USD,5235.06,2019-06-28,NAA8
20668,U001,200915438,2019-07-22,2019-07-05,2019-07-02,2019-07-05,2019-07-20,USD,26693.5,2019-07-05,NAA8
20669,U001,200769623,2020-02-12,2020-01-26,2020-01-24,2020-01-26,2020-02-10,USD,4669.28,2020-01-26,NAH4
20670,U001,200706844,2020-02-24,2020-02-09,2020-02-09,2020-02-09,2020-02-24,USD,891.7,2020-02-09,NAA8
20671,U001,200722444,2019-01-30,2019-01-15,2019-01-15,2019-01-15,2019-01-30,USD,20063.79,2019-01-15,NAA8
20673,U001,200769623,2019-11-13,2019-11-02,2019-10-30,2019-11-02,2019-11-17,USD,14978.2,2019-11-02,NAH4
20674,U001,200769623,2019-08-27,2019-08-17,2019-08-15,2019-08-17,2019-09-01,USD,31079.2,2019-08-17,NAH4
20675,U001,200769623,2019-06-19,2019-06-09,2019-06-08,2019-06-09,2019-06-24,USD,6544.75,2019-06-09,NAH4
20676,CA02,140104423,2019-10-31,2019-10-19,2019-10-19,2019-10-19,2019-11-01,CAD,93903.78,2019-10-22,CA10
20677,U013,100046468,2019-01-16,2019-01-15,2019-01-15,2019-01-15,2019-01-15,USD,14321.0,2019-01-15,NAUP
20679,U001,200780825,2019-11-25,2019-11-07,2019-11-06,2019-11-07,2019-11-22,USD,18934.37,2019-11-07,NAA8
20680,U001,200729290,2019-12-16,2019-11-29,2019-11-29,2019-11-29,2019-12-14,USD,67241.85,2019-11-29,NAA8
20681,U001,100031704,2019-02-11,2019-01-25,2019-01-23,2019-01-25,2019-02-09,USD,111464.21,2019-01-25,NAA8
20682,U001,200707822,2019-07-09,2019-06-24,2019-06-24,2019-06-24,2019-07-09,USD,137982.35,2019-06-24,NAA8
20683,U001,200759878,2019-05-17,2019-05-01,2019-05-01,2019-05-01,2019-05-16,USD,34585.56,2019-05-01,NAH4
20685,U001,200794332,2019-07-10,2019-06-26,2019-06-25,2019-06-26,2019-07-11,USD,3918.43,2019-06-26,NAAX
20686,U001,200706844,2019-07-12,2019-06-27,2019-06-25,2019-06-27,2019-07-12,USD,13581.4,2019-06-27,NAA8
20687,U001,200726979,2019-08-16,2019-08-01,2019-08-01,2019-08-01,2019-08-16,USD,376.31,2019-08-01,NAA8
20688,U001,200732755,2019-12-11,2019-11-26,2019-11-26,2019-11-26,2019-12-11,USD,29965.29,2019-11-26,NAA8
20689,U001,200764795,2019-04-29,2019-03-25,2019-03-25,2019-03-25,2019-04-26,USD,12778.57,2019-03-25,NA32
20690,CA02,140104429,2019-07-15,2019-06-28,2019-06-28,2019-06-28,2019-07-09,CAD,32931.18,2019-06-29,CA10
20691,U001,200728652,2019-11-05,2019-10-25,2019-10-25,2019-10-25,2019-11-09,USD,24395.08,2019-10-25,NAA8
20692,U001,200761734,2019-10-09,2019-09-25,2019-09-24,2019-09-25,2019-10-10,USD,105049.39,2019-09-25,NAA8
20693,U001,200769623,2019-09-04,2019-08-23,2019-08-23,2019-08-23,2019-09-07,USD,51968.5,2019-08-23,NAH4
20694,CA02,140106408,2019-06-10,2019-05-22,2019-05-22,2019-05-22,2019-06-01,CAD,22267.04,2019-05-22,CA10
20695,U001,200727272,2020-01-27,2020-01-08,2020-01-08,2020-01-08,2020-01-23,USD,2723.45,2020-01-08,NAA8
20696,U001,200726979,2019-02-12,2019-01-28,2019-01-28,2019-01-28,2019-02-12,USD,145.95,2019-01-28,NAA8
20698,U001,200769623,2019-12-16,2019-12-04,2019-12-02,2019-12-04,2019-12-19,USD,43599.65,2019-12-04,NAH4
20699,CA02,140104503,2020-02-26,2020-02-16,2020-02-17,2020-02-16,2020-03-03,CAD,1947.05,2020-02-22,CA10
20701,U001,200820380,2019-07-10,2019-06-25,2019-06-20,2019-06-25,2019-07-10,USD,2810.3,2019-06-25,NAA8
20702,U001,200769623,2019-07-31,2019-07-21,2019-07-20,2019-07-21,2019-08-05,USD,55197.61,2019-07-21,NAH4
20703,CA02,140104995,2019-10-15,2019-09-27,2019-09-27,2019-09-27,2019-10-11,CAD,3674.1,2019-10-01,CA10
20704,U001,200705742,2019-03-18,2019-02-25,2019-02-24,2019-02-25,2019-03-29,USD,4961.07,2019-02-25,NA32
20705,U001,200769623,2019-04-09,2019-03-23,2019-03-23,2019-03-23,2019-04-07,USD,53915.05,2019-03-23,NAH4
20706,U001,200718130,2020-03-02,2020-02-14,2020-02-14,2020-02-14,2020-02-29,USD,63489.59,2020-02-14,NAA8
20707,U001,200769623,2019-06-26,2019-06-16,2019-06-15,2019-06-16,2019-07-01,USD,23033.86,2019-06-16,NAH4
20709,U001,200744019,2019-08-23,2019-08-07,2019-08-06,2019-08-07,2019-08-22,USD,15340.3,2019-08-07,NAA8
20710,U001,200762301,2019-02-15,2019-01-31,2019-01-31,2019-01-31,2019-02-15,USD,142080.99,2019-01-31,NAC6
20711,U001,200592182,2019-05-01,2019-04-18,2019-04-18,2019-04-18,2019-05-09,USD,977.28,2019-04-16,NAM4
20712,U001,200769623,2019-08-08,2019-07-20,2019-07-20,2019-07-20,2019-08-04,USD,1562.3,2019-07-20,NAH4
20715,U001,200418007,2019-08-15,2019-07-31,2019-07-23,2019-07-31,2019-08-15,USD,1149.6,2019-07-31,NAA8
20716,U001,200148860,2019-07-01,2019-06-13,2019-06-13,2019-06-13,2019-06-28,USD,82644.24,2019-06-13,NAA8
20718,U001,200778998,2019-02-01,2019-01-20,2019-01-19,2019-01-20,2019-02-04,USD,2879.58,2019-01-20,NAA8
20719,U001,200803720,2019-08-26,2019-08-23,2019-08-23,2019-08-23,2019-08-26,USD,5100.24,2019-08-16,NAM2
20720,U001,100043949,2019-01-17,2019-01-02,2018-12-31,2019-01-02,2019-01-17,USD,16186.02,2019-01-02,NAA8
20721,U001,200756811,2019-12-13,2019-11-18,2019-11-14,2019-11-18,2019-11-28,USD,83238.69,2019-11-18,NA10
20722,U001,200622385,2019-12-30,2019-12-16,2019-12-17,2019-12-16,2019-12-31,USD,44876.89,2019-12-16,NAA8
20723,U001,200793568,2019-10-01,2019-09-10,2019-09-10,2019-09-10,2019-09-25,USD,46935.96,2019-09-10,NAA8
20725,U001,200769623,2020-02-10,2020-01-29,2020-01-28,2020-01-29,2020-02-13,USD,45377.84,2020-01-29,NAH4
20726,U001,100031704,2019-02-07,2019-01-23,2019-01-23,2019-01-23,2019-02-07,USD,44805.41,2019-01-23,NAA8
20727,CA02,140104409,2019-06-21,2019-05-31,2019-05-31,2019-05-31,2019-06-17,CAD,207555.91,2019-06-07,CA10
20729,U001,200769623,2019-12-31,2019-12-20,2019-12-19,2019-12-20,2020-01-04,USD,47079.85,2019-12-20,NAH4
20730,U001,200769623,2019-02-12,2019-02-01,2019-01-31,2019-02-01,2019-02-16,USD,43195.16,2019-02-01,NAH4
20732,U001,200729828,2020-02-13,2020-01-29,2020-01-29,2020-01-29,2020-02-13,USD,42865.89,2020-01-29,NAA8
20733,CA02,140104409,2019-09-06,2019-08-20,2019-08-20,2019-08-20,2019-09-08,CAD,4308.3,2019-08-29,CA10
20734,U001,200769623,2020-02-07,2020-01-22,2020-01-22,2020-01-22,2020-02-06,USD,6052.83,2020-01-22,NAH4
20735,U001,200769623,2019-02-14,2019-02-04,2019-02-02,2019-02-04,2019-02-19,USD,68735.66,2019-02-04,NAH4
20738,U001,200020431,2019-06-25,2019-06-19,2019-06-19,2019-06-19,2019-06-23,USD,19599.79,2019-06-16,NAM1
20739,U001,200769623,2019-07-29,2019-07-18,2019-07-17,2019-07-18,2019-08-02,USD,976.17,2019-07-18,NAH4
20740,U001,200726979,2019-05-20,2019-04-28,2019-04-30,2019-04-28,2019-05-13,USD,485.32,2019-04-28,NAA8
20741,CA02,140104423,2019-01-15,2019-01-03,2019-01-03,2019-01-03,2019-01-15,CAD,34991.95,2019-01-05,CA10
20742,U001,200705742,2019-03-22,2019-03-07,2019-03-07,2019-03-07,2019-03-22,USD,26539.64,2019-03-07,NAA8
20743,U001,200555117,2019-02-05,2019-01-16,2019-01-16,2019-01-16,2019-01-31,USD,74399.44,2019-01-16,NAA8
20745,U001,200772670,2019-03-04,2019-02-18,2019-02-18,2019-02-18,2019-03-05,USD,721.08,2019-02-18,NAU5
20746,U001,200719839,2019-02-22,2019-02-06,2019-02-04,2019-02-06,2019-02-21,USD,133705.95,2019-02-06,NAA8
20747,U001,200790107,2019-12-05,2019-11-19,2019-11-19,2019-11-19,2019-12-04,USD,2878.5,2019-11-19,NAC6
20748,U001,200769623,2019-12-31,2019-12-17,2019-12-17,2019-12-17,2020-01-01,USD,36842.94,2019-12-17,NAH4
20749,U001,200794332,2019-09-03,2019-08-19,2019-08-19,2019-08-19,2019-09-03,USD,4450.97,2019-08-19,NAAX
20750,U001,200705742,2019-08-07,2019-07-23,2019-07-23,2019-07-23,2019-08-26,USD,2283.59,2019-07-23,NAAW
20751,U001,200780383,2019-05-08,2019-04-19,2019-04-19,2019-04-19,2019-05-04,USD,18376.11,2019-04-19,NAA8
20752,U001,200900909,2019-06-14,2019-05-29,2019-05-30,2019-05-29,2019-06-13,USD,7405.4,2019-05-29,NAA8
20753,U001,200762301,2020-03-10,2020-02-24,2020-02-22,2020-02-24,2020-03-10,USD,4949.72,2020-02-24,NAC6
20754,U001,200762301,2020-01-27,2020-01-10,2020-01-09,2020-01-10,2020-01-25,USD,108029.82,2020-01-10,NAC6
20755,U001,200769623,2019-03-07,2019-02-24,2019-02-23,2019-02-24,2019-03-11,USD,5498.33,2019-02-24,NAH4
20756,CA02,140105847,2019-12-23,2019-12-10,2019-12-10,2019-12-10,2019-12-22,CAD,2192.5,2019-12-12,CA10
20757,U001,200712187,2019-09-05,2019-08-21,2019-08-21,2019-08-21,2019-09-05,USD,3678.48,2019-08-21,NAA8
20758,U001,CCCA02,2019-03-29,2019-03-01,2019-02-27,2019-03-01,2019-04-05,USD,17969.28,2019-03-01,NAG2
20760,U001,200418007,2019-11-14,2019-10-22,2019-10-18,2019-10-22,2019-11-06,USD,1524.99,2019-10-22,NAA8
20761,U001,200780383,2020-03-04,2020-02-17,2020-02-17,2020-02-17,2020-03-03,USD,29320.99,2020-02-17,NAA8
20762,U001,200769623,2019-02-19,2019-02-08,2019-02-07,2019-02-08,2019-02-23,USD,349.17,2019-02-08,NAH4
20763,U001,200705742,2019-09-09,2019-08-20,2019-08-20,2019-08-20,2019-09-21,USD,12566.23,2019-08-20,NA32
20764,U001,200769623,2019-04-15,2019-04-03,2019-04-03,2019-04-03,2019-04-18,USD,47359.53,2019-04-03,NAH4
20765,U013,140103335,2019-08-07,2019-07-12,2019-07-08,2019-07-12,2019-08-11,USD,75.6,2019-07-12,NAVE
20766,U001,200705742,2019-10-09,2019-09-24,2019-09-25,2019-09-24,2019-10-09,USD,14944.31,2019-09-24,NAA8
20767,U001,200769623,2019-09-13,2019-08-30,2019-08-30,2019-08-30,2019-09-14,USD,440.97,2019-08-30,NAH4
